발표일,발표,예측,이전
2010-12-15,0.25,0.25%,0.25%
2010-11-04,0.25,0.25%,0.25%
2010-09-22,0.25,0.25%,0.25%
2010-08-11,0.25,0.25%,0.25%
2010-06-24,0.25,0.25%,0.25%
2010-04-29,0.25,0.25%,0.25%
2010-03-17,0.25,0.25%,0.25%
2010-01-28,0.25,0.25%,0.25%
2009-12-17,0.25,0.25%,0.25%
2009-11-05,0.25,0.25%,0.25%
2009-09-24,0.25,0.25%,0.25%
2009-08-13,0.25,0.25%,0.25%
2009-06-25,0.25,0.25%,0.25%
2009-04-30,0.25,0.25%,0.25%
2009-03-19,0.25,0.25%,0.25%
2009-01-29,0.25,0.25%,0.25%
2008-12-17,0.25,0.50%,1.00%
2008-10-30,1,1.00%,1.50%
2008-10-08,1.5,,2.00%
2008-09-17,2,2.00%,2.00%
2008-08-06,2,,2.00%
2008-06-26,2,2.00%,2.00%
2008-05-01,2,2.00%,2.25%
2008-03-19,2.25,2.50%,3.00%
2008-01-31,3,,3.50%
2008-01-23,3.5,,4.25%
2007-12-12,4.25,,4.50%
2007-11-01,4.5,,4.75%
2007-09-19,4.75,,5.25%
2006-06-30,5.25,,5.00%
2006-05-11,5,,4.75%
2006-03-29,4.75,,4.50%
2006-02-01,4.5,,4.25%
2005-12-14,4.25,,4.00%
2005-11-02,4,,3.75%
2005-09-21,3.75,,3.50%
2005-08-10,3.5,,3.25%
2005-07-01,3.25,,3.00%
2005-05-04,3,,2.75%
2005-03-23,2.75,,2.50%
2005-02-03,2.5,,2.25%
2004-12-15,2.25,,2.00%
2004-11-11,2,,1.75%
2004-09-22,1.75,,1.50%
2004-08-11,1.5,,1.25%
2004-07-01,1.25,,1.00%
2003-06-26,1,,1.25%
2002-11-07,1.25,,1.75%
2001-12-12,1.75,,2.00%
2001-11-07,2,,2.50%
2001-10-03,2.5,,3.00%
2001-09-18,3,,3.50%
2001-08-22,3.5,,3.75%
2001-06-28,3.75,,4.00%
2001-05-16,4,,4.50%
2001-04-19,4.5,,5.00%
2001-03-21,5,,5.50%
2001-02-01,5.5,,6.00%
2001-01-04,6,,6.50%
2000-05-17,6.5,,6.00%
2000-03-22,6,,5.75%
2000-02-03,5.75,,5.50%
1999-11-17,5.5,,5.25%
1999-08-25,5.25,,5.00%
1999-07-01,5,,4.75%
1998-11-18,4.75,,5.00%
1998-10-16,5,,5.25%
1998-09-30,5.25,,5.50%
1997-03-26,5.5,,5.25%
1996-02-01,5.25,,5.50%
1995-12-20,5.5,,5.75%
1995-07-07,5.75,,6.00%
1995-02-02,6,,5.50%
1994-11-16,5.5,,4.75%
1994-08-17,4.75,,4.25%
1994-05-18,4.25,,3.75%
1994-04-19,3.75,,3.50%
1994-03-23,3.5,,3.25%
1994-02-05,3.25,,3.00%
1992-09-05,3,,3.25%
1992-07-03,3.25,,3.75%
1992-04-10,3.75,,4.00%
1991-12-21,4,,4.50%
1991-12-07,4.5,,4.75%
1991-11-07,4.75,,5.00%
1991-11-01,5,,5.25%
1991-09-14,5.25,,5.50%
1991-08-07,5.5,,5.75%
1991-05-01,5.75,,6.00%
1991-03-09,6,,6.25%
1991-02-02,6.25,,6.75%
1991-01-10,6.75,,7.00%
1990-12-20,7,,7.25%
1990-12-08,7.25,,7.50%
1990-11-15,7.5,,7.75%
1990-10-30,7.75,,8.00%
1990-07-14,8,,8.25%
1989-12-21,8.25,,8.50%
1989-11-07,8.5,,8.75%
1989-10-20,8.75,,9.06%
1989-07-28,9.06,,9.31%
1989-07-08,9.31,,9.56%
1989-06-07,9.56,,9.81%
1989-05-18,9.81,,9.75%
1989-02-25,9.75,,9.31%
1989-02-15,9.31,,9.12%
1989-02-10,9.12,,9.00%
1989-01-06,9,,8.68%
1988-12-16,8.68,,8.37%
1988-11-23,8.37,,8.31%
1988-11-18,8.31,,8.12%
1988-08-10,8.12,,7.75%
1988-08-09,7.75,,7.68%
1988-07-20,7.68,,7.50%
1988-07-02,7.5,,7.43%
1988-06-23,7.43,,7.25%
1988-05-26,7.25,,7.00%
1988-05-10,7,,6.75%
1988-03-31,6.75,,6.50%
1988-02-12,6.5,,6.62%
1988-01-29,6.62,,6.81%
1987-11-05,6.81,,7.31%
1987-09-25,7.31,,7.25%
1987-09-05,7.25,,6.87%
1987-09-04,6.87,,6.75%
1987-08-28,6.75,,6.62%
1987-07-03,6.62,,6.75%
1987-05-23,6.75,,6.50%
1987-05-01,6.5,,6.00%
1987-01-06,6,,5.87%
1986-08-22,5.87,,6.37%
1986-07-12,6.37,,6.87%
1986-06-06,6.87,,6.81%
1986-05-23,6.81,,6.75%
1986-04-22,6.75,,7.31%
1986-04-03,7.31,,7.25%
1986-03-08,7.25,,7.75%
1985-12-19,7.75,,8.00%
1985-09-07,8,,7.81%
1985-08-22,7.81,,7.75%
1985-07-26,7.75,,7.68%
1985-07-12,7.68,,7.75%
1985-05-21,7.75,,8.25%
1985-04-26,8.25,,8.50%
1985-03-29,8.5,,8.37%
1985-02-15,8.37,,8.25%
1985-01-25,8.25,,8.12%
1984-12-25,8.12,,8.50%
1984-12-20,8.5,,8.75%
1984-12-07,8.75,,9.00%
1984-11-24,9,,9.50%
1984-11-09,9.5,,10.00%
1984-10-19,10,,10.50%
1984-10-12,10.5,,11.00%
1984-09-28,11,,11.25%
1984-09-21,11.25,,11.50%
1984-08-10,11.5,,11.25%
1984-07-20,11.25,,11.00%
1984-07-06,11,,10.50%
1984-03-30,10.5,,9.37%
1983-09-16,9.37,,9.50%
1983-08-18,9.5,,9.56%
1983-08-12,9.56,,9.43%
1983-07-21,9.43,,9.25%
1983-07-15,9.25,,9.00%
1983-06-25,9,,8.75%
1983-05-26,8.75,,8.62%
1983-04-01,8.62,,8.50%
1982-12-15,8.5,,9.00%
1982-11-20,9,,9.50%
1982-10-08,9.5,,10.00%
1982-10-02,10,,10.25%
1982-09-28,10.25,,
