발표일,발표,예측,이전
2013-01-11,2.75,2.75%,2.75%
2012-12-13,2.75,2.75%,2.75%
2012-11-09,2.75,2.75%,2.75%
2012-10-11,2.75,2.75%,3.00%
2012-09-13,3,2.75%,3.00%
2012-08-09,3,3.00%,3.00%
2012-07-12,3,3.25%,3.25%
2012-06-08,3.25,3.25%,3.25%
2012-05-10,3.25,3.25%,3.25%
2012-04-13,3.25,3.25%,3.25%
2012-03-08,3.25,3.25%,3.25%
2012-02-09,3.25,3.25%,3.25%
2012-01-13,3.25,3.25%,3.25%
2011-12-08,3.25,3.25%,3.25%
2011-11-11,3.25,3.25%,3.25%
2011-10-13,3.25,3.25%,3.25%
2011-09-08,3.25,3.25%,3.25%
2011-08-11,3.25,3.50%,3.25%
2011-07-14,3.25,3.25%,3.25%
2011-06-10,3.25,3.25%,3.00%
2011-05-13,3,3.00%,3.00%
2011-04-12,3,3.00%,3.00%
2011-03-10,3,3.00%,2.75%
2011-02-11,2.75,3.00%,2.75%
2011-01-13,2.75,2.50%,2.50%
2010-12-01,2.5,,2.25%
2010-11-01,2.25,,2.25%
2010-10-01,2.25,,2.25%
2010-09-01,2.25,,2.25%
2010-08-01,2.25,,2.00%
2010-07-01,2,,2.00%
2010-06-01,2,,2.00%
2010-05-01,2,,2.00%
2010-04-01,2,,2.00%
2010-03-01,2,,2.00%
2010-02-01,2,,2.00%
2010-01-01,2,,2.00%
2009-12-01,2,,2.00%
2009-11-01,2,,2.00%
2009-10-01,2,,2.00%
2009-09-01,2,,2.00%
2009-08-01,2,,2.00%
2009-07-01,2,,2.00%
2009-06-01,2,,2.00%
2009-05-01,2,,2.00%
2009-04-01,2,,2.00%
2009-03-01,2,,2.50%
2009-02-01,2.5,,3.00%
2009-01-01,3,,4.00%
2008-12-01,4,,4.25%
2008-11-01,4.25,,5.25%
2008-10-01,5.25,,5.25%
2008-09-01,5.25,,5.00%
2008-08-01,5,,5.00%
2008-07-01,5,,5.00%
2008-06-01,5,,5.00%
2008-05-01,5,,5.00%
2008-04-01,5,,5.00%
2008-03-01,5,,5.00%
2008-02-01,5,,5.00%
2008-01-01,5,,5.00%
2007-12-01,5,,5.00%
2007-11-01,5,,5.00%
2007-10-01,5,,5.00%
2007-09-01,5,,4.75%
2007-08-01,4.75,,4.50%
2007-07-01,4.5,,4.50%
2007-06-01,4.5,,4.50%
2007-05-01,4.5,,4.50%
2007-04-01,4.5,,4.50%
2007-03-01,4.5,,4.50%
2007-02-01,4.5,,4.50%
2007-01-01,4.5,,4.50%
2006-12-01,4.5,,4.50%
2006-11-01,4.5,,4.50%
2006-10-01,4.5,,4.50%
2006-09-01,4.5,,4.25%
2006-08-01,4.25,,4.25%
2006-07-01,4.25,,4.00%
2006-06-01,4,,4.00%
2006-05-01,4,,4.00%
2006-04-01,4,,4.00%
2006-03-01,4,,3.75%
2006-02-01,3.75,,3.75%
2006-01-01,3.75,,3.50%
2005-12-01,3.5,,3.50%
2005-11-01,3.5,,3.25%
2005-10-01,3.25,,3.25%
2005-09-01,3.25,,3.25%
2005-08-01,3.25,,3.25%
2005-07-01,3.25,,3.25%
2005-06-01,3.25,,3.25%
2005-05-01,3.25,,3.25%
2005-04-01,3.25,,3.25%
2005-03-01,3.25,,3.25%
2005-02-01,3.25,,3.25%
2005-01-01,3.25,,3.25%
2004-12-01,3.25,,3.50%
2004-11-01,3.5,,3.50%
2004-10-01,3.5,,3.50%
2004-09-01,3.5,,3.75%
2004-08-01,3.75,,3.75%
2004-07-01,3.75,,3.75%
2004-06-01,3.75,,3.75%
2004-05-01,3.75,,3.75%
2004-04-01,3.75,,3.75%
2004-03-01,3.75,,3.75%
2004-02-01,3.75,,3.75%
2004-01-01,3.75,,3.75%
2003-12-01,3.75,,3.75%
2003-11-01,3.75,,3.75%
2003-10-01,3.75,,3.75%
2003-09-01,3.75,,3.75%
2003-08-01,3.75,,4.00%
2003-07-01,4,,4.00%
2003-06-01,4,,4.25%
2003-05-01,4.25,,4.25%
2003-04-01,4.25,,4.25%
2003-03-01,4.25,,4.25%
2003-02-01,4.25,,4.25%
2003-01-01,4.25,,4.25%
2002-12-01,4.25,,4.25%
2002-11-01,4.25,,4.25%
2002-10-01,4.25,,4.25%
2002-09-01,4.25,,4.25%
2002-08-01,4.25,,4.25%
2002-07-01,4.25,,4.25%
2002-06-01,4.25,,4.00%
2002-05-01,4,,4.00%
2002-04-01,4,,4.00%
2002-03-01,4,,4.00%
2002-02-01,4,,4.00%
2002-01-01,4,,4.00%
2001-12-01,4,,4.00%
2001-11-01,4,,4.00%
2001-10-01,4,,4.50%
2001-09-01,4.5,,4.75%
2001-08-01,4.75,,5.00%
2001-07-01,5,,5.00%
2001-06-01,5,,5.00%
2001-05-01,5,,5.00%
2001-04-01,5,,5.00%
2001-03-01,5,,5.25%
2001-02-01,5.25,,5.25%
2001-01-01,5.25,,5.25%
2000-12-01,5.25,,5.25%
2000-11-01,5.25,,5.00%
2000-10-01,5,,5.00%
2000-09-01,5,,5.00%
2000-08-01,5,,5.00%
2000-07-01,5,,5.00%
2000-06-01,5,,5.00%
2000-05-01,5,,5.00%
2000-04-01,5,,5.00%
2000-03-01,5,,4.75%
2000-02-01,4.75,,4.75%
2000-01-01,4.75,,4.75%
1999-12-01,4.75,,4.75%
1999-11-01,4.75,,4.75%
1999-10-01,4.75,,4.75%
1999-09-01,4.75,,4.75%
1999-08-01,4.75,,4.75%
1999-07-01,4.75,,4.75%
1999-06-01,4.75,,
